x y label
0.000 16.176 a
0.004 16.169 a
0.014 16.148 a
0.018 16.148 a
0.022 16.121 a
0.026 16.098 a
0.030 16.070 a
0.034 16.050 a
0.040 16.038 a
0.045 16.051 a
0.050 16.080 a
0.058 16.046 a
0.079 16.053 a
0.084 16.063 a
0.089 16.078 a
0.094 16.072 a
0.099 16.106 a
0.103 16.087 a
0.106 16.091 a
0.110 16.078 a
0.114 16.029 a
0.118 16.011 a
0.121 15.840 a
0.146 15.649 a
0.151 15.479 a
0.156 15.281 a
0.160 15.168 a
0.164 15.097 a
0.170 15.044 a
0.177 15.028 a
0.181 15.018 a
0.185 15.044 a
0.189 15.100 a
0.193 15.177 a
0.199 15.238 a
0.204 15.276 a
0.208 15.321 a
0.212 15.330 a
0.216 15.375 a
0.220 15.399 a
0.224 15.415 a
0.228 15.468 a
0.231 15.503 a
0.240 15.511 a
0.244 15.549 a
0.248 15.583 a
0.251 15.603 a
0.255 15.662 a
0.259 15.655 a
0.265 15.699 a
0.271 15.748 a
0.279 15.802 a
0.285 15.811 a
